"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Abert's Towhee","ABTO","aridlands",5920,"Abert's Towhee",TRUE,TRUE,TRUE,"Abert's Towhee","Passeriformes","Passerellidae","Melozone","aberti"
"Acadian Flycatcher","ACFL","eastern_forests",4650,"Acadian Flycatcher",TRUE,TRUE,TRUE,"Acadian Flycatcher","Passeriformes","Tyrannidae","Empidonax","virescens"
"Acorn Woodpecker","ACWO","western_forests",4070,"Acorn Woodpecker",TRUE,TRUE,TRUE,"Acorn Woodpecker","Piciformes","Picidae","Melanerpes","formicivorus"
"Alder Flycatcher","ALFL","boreal_forests",4661,"Alder Flycatcher",TRUE,TRUE,TRUE,"Alder Flycatcher","Passeriformes","Tyrannidae","Empidonax","alnorum"
"Allen's Hummingbird","ALHU","aridlands",4340,"Allen's Hummingbird",TRUE,TRUE,TRUE,"Allen's Hummingbird","Apodiformes","Trochilidae","Selasphorus","sasin"
"Altamira Oriole","ALOR","subtropical_forests",5031,"Altamira Oriole",TRUE,TRUE,TRUE,"Altamira Oriole","Passeriformes","Icteridae","Icterus","gularis"
"American Avocet","AMAV","marshlands",2250,"American Avocet",TRUE,TRUE,TRUE,"American Avocet","Charadriiformes","Recurvirostridae","Recurvirostra","americana"
"American Bittern","AMBI","marshlands",1900,"American Bittern",TRUE,TRUE,TRUE,"American Bittern","Pelecaniformes","Ardeidae","Botaurus","lentiginosus"
"American Black Duck","ABDU","waterbirds",1330,"American Black Duck",TRUE,TRUE,TRUE,"American Black Duck","Anseriformes","Anatidae","Anas","rubripes"
"American Coot","AMCO","marshlands",2210,"American Coot",TRUE,TRUE,TRUE,"American Coot","Gruiformes","Rallidae","Fulica","americana"
"American Crow","AMCR","generalists",4880,"American Crow",TRUE,TRUE,TRUE,"American Crow","Passeriformes","Corvidae","Corvus","brachyrhynchos"
"American Dipper","AMDI","western_forests",7010,"American Dipper",TRUE,TRUE,TRUE,"American Dipper","Passeriformes","Cinclidae","Cinclus","mexicanus"
"American Golden-Plover","AMGP","waterbirds",2720,"American Golden-Plover",TRUE,TRUE,TRUE,"American Golden-Plover","Charadriiformes","Charadriidae","Pluvialis","dominica"
"American Goldfinch","AMGO","generalists",5290,"American Goldfinch",TRUE,TRUE,TRUE,"American Goldfinch","Passeriformes","Fringillidae","Spinus","tristis"
"American Kestrel","AMKE","generalists",3600,"American Kestrel",TRUE,TRUE,TRUE,"American Kestrel","Falconiformes","Falconidae","Falco","sparverius"
"American Oystercatcher","AMOY","coastal",2860,"American Oystercatcher",TRUE,TRUE,TRUE,"American Oystercatcher","Charadriiformes","Haematopodidae","Haematopus","palliatus"
"American Pipit","AMPI","arctic",6970,"American Pipit",TRUE,TRUE,TRUE,"American Pipit","Passeriformes","Motacillidae","Anthus","rubescens"
"American Redstart","AMRE","boreal_forests",6870,"American Redstart",TRUE,TRUE,TRUE,"American Redstart","Passeriformes","Parulidae","Setophaga","ruticilla"
