"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Abert's Towhee","ABTO","aridlands",5920,"Abert's Towhee",TRUE,TRUE,TRUE,"Abert's Towhee","Passeriformes","Passerellidae","Melozone","aberti","Least Concern","Increasing"
"Acadian Flycatcher","ACFL","eastern_forests",4650,"Acadian Flycatcher",TRUE,TRUE,TRUE,"Acadian Flycatcher","Passeriformes","Tyrannidae","Empidonax","virescens","Least Concern","Stable"
"Acorn Woodpecker","ACWO","western_forests",4070,"Acorn Woodpecker",TRUE,TRUE,TRUE,"Acorn Woodpecker","Piciformes","Picidae","Melanerpes","formicivorus","Least Concern","Increasing"
"Alder Flycatcher","ALFL","boreal_forests",4661,"Alder Flycatcher",TRUE,TRUE,TRUE,"Alder Flycatcher","Passeriformes","Tyrannidae","Empidonax","alnorum","Least Concern","Decreasing"
"Allen's Hummingbird","ALHU","aridlands",4340,"Allen's Hummingbird",TRUE,TRUE,TRUE,"Allen's Hummingbird","Apodiformes","Trochilidae","Selasphorus","sasin","Least Concern","Increasing"
"Altamira Oriole","ALOR","subtropical_forests",5031,"Altamira Oriole",TRUE,TRUE,TRUE,"Altamira Oriole","Passeriformes","Icteridae","Icterus","gularis","Least Concern","Stable"
"American Avocet","AMAV","marshlands",2250,"American Avocet",TRUE,TRUE,TRUE,"American Avocet","Charadriiformes","Recurvirostridae","Recurvirostra","americana","Least Concern","Unknown"
"American Bittern","AMBI","marshlands",1900,"American Bittern",TRUE,TRUE,TRUE,"American Bittern","Pelecaniformes","Ardeidae","Botaurus","lentiginosus","Least Concern","Decreasing"
"American Black Duck","ABDU","waterbirds",1330,"American Black Duck",TRUE,TRUE,TRUE,"American Black Duck","Anseriformes","Anatidae","Anas","rubripes","Least Concern","Decreasing"
"American Coot","AMCO","marshlands",2210,"American Coot",TRUE,TRUE,TRUE,"American Coot","Gruiformes","Rallidae","Fulica","americana","Least Concern","Decreasing"
"American Crow","AMCR","generalists",4880,"American Crow",TRUE,TRUE,TRUE,"American Crow","Passeriformes","Corvidae","Corvus","brachyrhynchos","Least Concern","Increasing"
