"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Abert's Towhee","ABTO","anthro",1.03510419833411,-0.0904672157,0.0985481339000001,1.966202815,2.1389155925,TRUE,FALSE,TRUE
"Acadian Flycatcher","ACFL","anthro",-2.9848479844375,-3.36188233,-3.296743515,-2.68063332,-2.62059086,TRUE,TRUE,FALSE
"Acorn Woodpecker","ACWO","anthro",-1.665880107161,-2.6674381225,-2.50497873,-0.793021315500002,-0.6265641375,TRUE,TRUE,FALSE
"Alder Flycatcher","ALFL","anthro",-1.15179745818613,-1.76760663,-1.665513895,-0.652362274000001,-0.56100991025,TRUE,TRUE,FALSE
"Allen's Hummingbird","ALHU","anthro",-0.062883514910635,-1.50744902,-1.278979275,1.12044182,1.350541865,FALSE,FALSE,FALSE
"American Avocet","AMAV","anthro",0.715486139270911,-0.00662906947499999,0.1092763785,1.31819657,1.422430315,TRUE,FALSE,TRUE
"American Bittern","AMBI","anthro",0.0130554503997109,-0.64053031875,-0.539731038,0.5667450205,0.67147826475,FALSE,FALSE,FALSE
"American Black Duck","ABDU","anthro",-1.29972512614309,-2.4859428825,-2.267114945,-0.336158743,-0.168347383250002,TRUE,TRUE,FALSE
"American Coot","AMCO","anthro",-0.0041925239852195,-0.61918664625,-0.52460838,0.5030134205,0.60008226725,FALSE,FALSE,FALSE
"American Crow","AMCR","anthro",0.102849052633317,-0.088146640025,-0.0537676298,0.2546147315,0.28363324475,FALSE,FALSE,FALSE
"American Dipper","AMDI","anthro",-0.219675336948362,-1.40444797,-1.231879575,0.780361988,0.984831389,FALSE,FALSE,FALSE
"American Goldfinch","AMGO","anthro",0.91860393008375,0.72747645725,0.758722305,1.075919815,1.1023090775,TRUE,TRUE,FALSE
"American Kestrel","AMKE","anthro",1.09110646109375,0.87030565575,0.904054003,1.27330367,1.3068229075,TRUE,TRUE,FALSE
"American Oystercatcher","AMOY","anthro",1.69856029184238,0.176983301,0.436299155,2.942590065,3.1702749725,TRUE,TRUE,FALSE
"American Pipit","AMPI","anthro",-0.0282565628422831,-1.9763231675,-1.67732788,1.618680775,1.9320703675,FALSE,FALSE,FALSE
"American Redstart","AMRE","anthro",-2.71020160185,-3.122154655,-3.05554076,-2.372865315,-2.313868545,TRUE,TRUE,FALSE
"American Robin","AMRO","anthro",1.37472475420625,1.2048494175,1.23121713,1.516635085,1.5464429425,TRUE,TRUE,FALSE
"American Three-toed Woodpecker","ATTW","anthro",-0.651503695928523,-2.399702235,-2.12247478,0.862410127999999,1.1352428775,FALSE,FALSE,FALSE
"American White Pelican","AWPE","anthro",0.45387074232024,-0.31248657,-0.1860620575,1.099522945,1.2200001325,FALSE,FALSE,FALSE
"American Wigeon","AMWI","anthro",-0.296887008628967,-0.9916773625,-0.89017651,0.300011077,0.399718925999999,FALSE,FALSE,FALSE
"American Woodcock","AMWO","anthro",-0.223449280207545,-0.88308658,-0.773284448,0.320206028,0.42295389325,FALSE,FALSE,FALSE
"Anhinga","ANHI","anthro",-0.128426588609806,-0.89002495525,-0.7642812815,0.5131084,0.6480076425,FALSE,FALSE,FALSE
"Anna's Hummingbird","ANHU","anthro",0.15784867631113,-0.399099987,-0.311215661,0.63311661,0.72438822825,FALSE,FALSE,FALSE
"Ash-throated Flycatcher","ATFL","anthro",-1.72576329504,-2.2936420175,-2.19837821,-1.25235142,-1.1494477,TRUE,TRUE,FALSE
"Audubon's Oriole","AUOR","anthro",-0.8408016103692,-2.2501257925,-2.011358545,0.384197482999999,0.607556002499999,FALSE,FALSE,FALSE
"Bachman's Sparrow","BACS","anthro",-0.731957881654627,-1.941099405,-1.737793235,0.296200460999999,0.469267927749999,FALSE,FALSE,FALSE
"Baird's Sparrow","BAIS","anthro",0.248264290068334,-0.96414635825,-0.7533687875,1.24947811,1.4176112325,FALSE,FALSE,FALSE
"Bald Eagle","BAEA","anthro",0.281235824883039,-0.026619026,0.02020747665,0.538726573,0.58779157725,TRUE,FALSE,TRUE
